X,Y,Z,grav
21777.78,7142.86,405.17,-533.39621
22343.43,9142.86,455.98,-532.78489
16686.87,4285.71,389.34,-527.09193
21494.95,8000.00,424.80,-532.70171
21494.95,11428.57,469.85,-532.79943
3393.94,8000.00,866.40,-538.37679
11313.13,1142.86,733.35,-523.95504
18666.67,6857.14,358.80,-530.12466
16969.70,2857.14,491.41,-527.28753
13010.10,2000.00,743.86,-522.51532
20080.81,1428.57,493.59,-532.21198
7070.71,12000.00,885.90,-534.96612
8767.68,10857.14,790.40,-530.05444
6222.22,10571.43,960.84,-535.05613
24888.89,285.71,593.24,-530.94359
