,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
9,Thrust1_south,Thrust1_series,1,False,True,True,True,#5DA629,"[[16936.50939941  1260.           562.5       ]
 [16940.          1260.           559.21220779]
 [16940.          1243.12604904   562.5       ]
 ...
 [27848.89587402 13860.         -2687.5       ]
 [27860.         13860.         -2692.40665436]
 [27860.         13819.92645264 -2687.5       ]]","[[   2    1    0]
 [   0    1    3]
 [   3    1    4]
 ...
 [3370 3267 3368]
 [3267 3268 3368]
 [3368 3268 3265]]",1.4711625710233989,1
10,Thrust2_south,Thrust2_series,1,False,True,True,True,#5DA629,"[[19430.10131836  1540.           437.5       ]
 [19460.          1540.           412.86563873]
 [19460.          1315.89380264   437.5       ]
 ...
 [27860.         13580.         -2080.19161224]
 [27742.51586914 13860.         -2062.5       ]
 [27860.         13860.         -2093.76859665]]","[[   2    1    0]
 [   0    1    3]
 [   3    1    4]
 ...
 [2622 2621 2623]
 [2622 2535 2534]
 [2622 2534 2620]]",-54.86300155792111,2
0,Fault2,Fault2_series,1,False,True,True,True,#015482,"[[ 8815.05462646  9940.           812.5       ]
 [ 8820.          9660.           794.65150833]
 [ 8817.72010803  9660.           812.5       ]
 ...
 [11121.1656189  13860.         -6312.5       ]
 [11174.56604004 13860.         -6437.5       ]
 [11067.79296875 13860.         -6187.5       ]]","[[   2    1    0]
 [   0    1    3]
 [   0    3    4]
 ...
 [3356 3359 3361]
 [3361 3217 3211]
 [3361 3211 3358]]",1.0959235305684996,3
1,Fault5,Fault5_series,1,False,True,True,True,#015482,"[[13580.           420.         -6431.23027217]
 [13580.           140.         -6425.31942762]
 [13569.71511841   140.         -6437.5       ]
 ...
 [18070.70678711 13300.           437.5       ]
 [18074.91729736 13580.           437.5       ]
 [18078.59588623 13860.           437.5       ]]","[[   2    1    0]
 [   2    0    3]
 [   3    0    4]
 ...
 [3630 3618 3613]
 [3632 3623 3631]
 [3631 3623 3618]]",-0.2961739060673478,4
2,Fault6,Fault6_series,1,False,True,True,True,#015482,"[[16380.          4166.05609894 -6437.5       ]
 [16376.63116455  4340.         -6437.5       ]
 [16380.          4340.         -6432.83453258]
 ...
 [20639.92126465 13300.           312.5       ]
 [20632.61749268 13580.           312.5       ]
 [20624.83947754 13860.           312.5       ]]","[[   2    1    0]
 [   1    2    3]
 [   1    3    4]
 ...
 [3587 3588 3589]
 [3590 3470 3589]
 [3589 3470 3464]]",-0.50147364196304,5
6,Tertiary,Post_tectonic_series,1,False,False,True,True,#dbdbac,"[[ 9109.14520264 13860.           812.5       ]
 [ 9380.         13580.           799.17669296]
 [ 9209.22546387 13580.           812.5       ]
 ...
 [27860.         13300.          -764.83726501]
 [27860.         13580.          -764.86539841]
 [27860.         13860.          -764.5740509 ]]","[[   2    1    0]
 [   0    1    3]
 [   4    3    1]
 ...
 [5053 5002 5052]
 [5053 5004 5002]
 [5054 5004 5053]]",1.2345131122855473,6
8,Pink,Post_tectonic_series,2,False,False,True,True,#e588f3,"[[ 2363.11429977  3220.           812.5       ]
 [ 2380.          3220.           808.66622925]
 [ 2380.          3073.956604     812.5       ]
 ...
 [27860.         13300.         -1384.64403152]
 [27860.         13580.         -1386.82603836]
 [27860.         13860.         -1388.67950439]]","[[    2     1     0]
 [    0     1     3]
 [    3     1     4]
 ...
 [10411 10314 10410]
 [10411 10316 10314]
 [10412 10316 10411]]",1.2139220137665987,7
7,Orange,Post_tectonic_series,3,False,False,True,True,#ff792b,"[[ 1246.87479973  3500.           812.5       ]
 [ 1260.          3500.           809.1301918 ]
 [ 1260.          3356.94385529   812.5       ]
 ...
 [27860.         13300.         -1602.80799866]
 [27860.         13580.         -1605.7138443 ]
 [27860.         13860.         -1608.29019547]]","[[   2    1    0]
 [   0    1    3]
 [   3    1    4]
 ...
 [9399 9307 9304]
 [9401 9309 9306]
 [9402 9309 9401]]",1.206678068616577,8
5,Unconformity,Detachement,1,False,False,True,True,#725c9a,,,1.076587496609456,9
4,Upper-filling,Syn_tectonic_series2,1,False,False,True,True,#cfc199,"[[ 8820.          1820.          -914.11113739]
 [ 8820.          2100.          -902.74238586]
 [ 8905.6072998   2100.          -937.5       ]
 ...
 [17279.581604   13580.          -687.5       ]
 [17228.55453491 13860.          -812.5       ]
 [17268.98696899 13860.          -687.5       ]]","[[   2    1    0]
 [   2    0    3]
 [   5    4    1]
 ...
 [2850 2692 2690]
 [2853 2850 2851]
 [2852 2850 2853]]",0.8777121853395806,10
3,Lower-filling,Pre_tectonic_series,1,False,False,True,True,#a5d490,"[[ 8888.54789734   420.          -437.5       ]
 [ 9100.           140.          -529.41608429]
 [ 8889.25819397   140.          -437.5       ]
 ...
 [20098.16680908 11340.         -1062.5       ]
 [20097.54730225 11620.         -1062.5       ]
 [20094.93896484 11900.         -1062.5       ]]","[[   2    1    0]
 [   0    1    3]
 [   6    5    4]
 ...
 [6720 6630 6719]
 [6719 6630 6625]
 [6720 6635 6630]]",-0.7610977671385093,11
11,basement,Basement,1,True,False,True,False,#c7848f,,,,12
